target,id,question,question_concept,input,input_choices
B,055817d8d703d3c2802545e3fccdcde3,"{'question_concept': 'death', 'choices': [{'label': 'A', 'text': 'celebrate'}, {'label': 'B', 'text': 'burial'}, {'label': 'C', 'text': 'life'}, {'label': 'D', 'text': 'rebirth'}, {'label': 'E', 'text': 'decomposition'}], 'stem': 'What do humans do to other humans after death?'}",death,What do humans do to other humans after death?,"A: celebrate, B: burial, C: life, D: rebirth, E: decomposition"
B,c4b1a57e7880b9cb367f9c67abf5605f,"{'question_concept': 'kissing', 'choices': [{'label': 'A', 'text': 'anus'}, {'label': 'B', 'text': 'partner'}, {'label': 'C', 'text': 'arousal'}, {'label': 'D', 'text': 'trust'}, {'label': 'E', 'text': 'cooperation'}], 'stem': 'Kissing is normally an activity reserved for your romantic what?'}",kissing,Kissing is normally an activity reserved for your romantic what?,"A: anus, B: partner, C: arousal, D: trust, E: cooperation"
C,e313d7967f72c2b880213daaaf4b7181,"{'question_concept': 'child', 'choices': [{'label': 'A', 'text': 'count to ten'}, {'label': 'B', 'text': 'state name'}, {'label': 'C', 'text': 'dress herself'}, {'label': 'D', 'text': 'clean room'}, {'label': 'E', 'text': 'socialize'}], 'stem': 'What does a child learn to do before school?'}",child,What does a child learn to do before school?,"A: count to ten, B: state name, C: dress herself, D: clean room, E: socialize"
C,3c7992df7fda23bcdeacb1f1f6b73448,"{'question_concept': 'talking to', 'choices': [{'label': 'A', 'text': 'get tired of'}, {'label': 'B', 'text': 'small talk'}, {'label': 'C', 'text': 'eye contact'}, {'label': 'D', 'text': 'friendship'}, {'label': 'E', 'text': 'social life'}], 'stem': 'He was getting advice for the job interview, they told him when talking to the interviewer always make what?'}",talking to,"He was getting advice for the job interview, they told him when talking to the interviewer always make what?","A: get tired of, B: small talk, C: eye contact, D: friendship, E: social life"
C,f116ee6620c0f171e5db54bc03a5f2e2,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'cross street'}, {'label': 'B', 'text': 'talk to themselves'}, {'label': 'C', 'text': 'open doors'}, {'label': 'D', 'text': 'throw away'}, {'label': 'E', 'text': 'study greek'}], 'stem': 'What might a kind person do?'}",person,What might a kind person do?,"A: cross street, B: talk to themselves, C: open doors, D: throw away, E: study greek"
C,ea82f9e938cbfce85fb498ce46264253,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'cross street'}, {'label': 'B', 'text': 'draw attention to themselves'}, {'label': 'C', 'text': 'make money'}, {'label': 'D', 'text': 'falling down'}, {'label': 'E', 'text': 'come home'}], 'stem': 'What will a person do at work?'}",person,What will a person do at work?,"A: cross street, B: draw attention to themselves, C: make money, D: falling down, E: come home"
B,b42ef8be1748c19fa5938de5396f8fad,"{'question_concept': 'jogging', 'choices': [{'label': 'A', 'text': 'exhaustion'}, {'label': 'B', 'text': 'getting in shape'}, {'label': 'C', 'text': 'fitness'}, {'label': 'D', 'text': 'injure himself'}, {'label': 'E', 'text': 'fatigue'}], 'stem': 'The man started to learn jogging, what was he hoping to do?'}",jogging,"The man started to learn jogging, what was he hoping to do?","A: exhaustion, B: getting in shape, C: fitness, D: injure himself, E: fatigue"
D,8ef78abb86fc282ccb02bbc495f13030,"{'question_concept': 'death', 'choices': [{'label': 'A', 'text': 'rebirth'}, {'label': 'B', 'text': 'human experience'}, {'label': 'C', 'text': 'sadness'}, {'label': 'D', 'text': 'decomposition'}, {'label': 'E', 'text': 'obesity'}], 'stem': 'What happens to a body after death?'}",death,What happens to a body after death?,"A: rebirth, B: human experience, C: sadness, D: decomposition, E: obesity"
E,d581e0ad6a4c89465dc1a527bd2d3f77,"{'question_concept': 'disability', 'choices': [{'label': 'A', 'text': 'qualification'}, {'label': 'B', 'text': 'strength'}, {'label': 'C', 'text': 'pity'}, {'label': 'D', 'text': 'competence'}, {'label': 'E', 'text': 'potential'}], 'stem': 'Though she had a disability, what did her encouraging and positive coach see in her?'}",disability,"Though she had a disability, what did her encouraging and positive coach see in her?","A: qualification, B: strength, C: pity, D: competence, E: potential"
B,f232bfea2a7611999688a252e476c040,"{'question_concept': 'theory', 'choices': [{'label': 'A', 'text': 'park'}, {'label': 'B', 'text': 'practice'}, {'label': 'C', 'text': 'fact'}, {'label': 'D', 'text': 'practical'}, {'label': 'E', 'text': 'practise'}], 'stem': 'They had a theory of what they could do in t he big game, so over and over they would what?'}",theory,"They had a theory of what they could do in t he big game, so over and over they would what?","A: park, B: practice, C: fact, D: practical, E: practise"
B,484f6e4fb8e6431b010c299490b72e3c,"{'question_concept': 'anything', 'choices': [{'label': 'A', 'text': 'obesity'}, {'label': 'B', 'text': 'fall down'}, {'label': 'C', 'text': 'matter to'}, {'label': 'D', 'text': 'whatever'}, {'label': 'E', 'text': 'surprise'}], 'stem': 'When you slip from a ladder propped on anything what will you do?'}",anything,When you slip from a ladder propped on anything what will you do?,"A: obesity, B: fall down, C: matter to, D: whatever, E: surprise"
C,0519b0b0869681c2884f53dbfa43e538,"{'question_concept': 'arise', 'choices': [{'label': 'A', 'text': 'go down'}, {'label': 'B', 'text': 'fall down'}, {'label': 'C', 'text': 'lie down'}, {'label': 'D', 'text': 'lie to himself'}, {'label': 'E', 'text': 'sit down'}], 'stem': 'Brad tried to arise from bed but he could not.  Instead, he just continued to do what?'}",arise,"Brad tried to arise from bed but he could not.  Instead, he just continued to do what?","A: go down, B: fall down, C: lie down, D: lie to himself, E: sit down"
B,7776b10c7bb96f3fe5e026678673634d,"{'question_concept': 'opening business', 'choices': [{'label': 'A', 'text': 'home'}, {'label': 'B', 'text': 'wealth'}, {'label': 'C', 'text': 'bankruptcy'}, {'label': 'D', 'text': 'lose money'}, {'label': 'E', 'text': 'get rich'}], 'stem': 'What do people want to acquire from opening business?'}",opening business,What do people want to acquire from opening business?,"A: home, B: wealth, C: bankruptcy, D: lose money, E: get rich"
A,f7c005244d406b9bde48dc8c22003af1,"{'question_concept': 'undergraduate', 'choices': [{'label': 'A', 'text': 'graduated'}, {'label': 'B', 'text': 'masters'}, {'label': 'C', 'text': 'postgraduate'}, {'label': 'D', 'text': 'phd'}, {'label': 'E', 'text': 'professor'}], 'stem': 'What has someone who had finished their undergraduate done?'}",undergraduate,What has someone who had finished their undergraduate done?,"A: graduated, B: masters, C: postgraduate, D: phd, E: professor"
D,732af155f677a51d05d0c9e080d598b6,"{'question_concept': 'performing', 'choices': [{'label': 'A', 'text': 'fear'}, {'label': 'B', 'text': 'injury'}, {'label': 'C', 'text': 'happiness'}, {'label': 'D', 'text': 'action'}, {'label': 'E', 'text': 'cut'}], 'stem': 'Everybody began performing once their director stated what?'}",performing,Everybody began performing once their director stated what?,"A: fear, B: injury, C: happiness, D: action, E: cut"
C,48abc2c113623fd72f758502529f93a5,"{'question_concept': 'learning about world', 'choices': [{'label': 'A', 'text': 'pleasure'}, {'label': 'B', 'text': 'greater mobility'}, {'label': 'C', 'text': 'desire to travel'}, {'label': 'D', 'text': 'global warming'}, {'label': 'E', 'text': 'increased security'}], 'stem': 'By learning about the world, many poor college students gain what?'}",learning about world,"By learning about the world, many poor college students gain what?","A: pleasure, B: greater mobility, C: desire to travel, D: global warming, E: increased security"
D,463521a93ae71e93bea8b97cdf7a6792,"{'question_concept': 'dust', 'choices': [{'label': 'A', 'text': 'closet'}, {'label': 'B', 'text': 'under the bed'}, {'label': 'C', 'text': 'television'}, {'label': 'D', 'text': 'attic'}, {'label': 'E', 'text': 'most buildings'}], 'stem': 'John wanted to clean all of the dust out of his place before settling down to watch his favorite shows.  What might he hardest do dust?'}",dust,John wanted to clean all of the dust out of his place before settling down to watch his favorite shows.  What might he hardest do dust?,"A: closet, B: under the bed, C: television, D: attic, E: most buildings"
B,c036ce033bc429ac1aba0a6ac8d057e1,"{'question_concept': 'nerve', 'choices': [{'label': 'A', 'text': 'eyes'}, {'label': 'B', 'text': 'animal'}, {'label': 'C', 'text': 'fingertips'}, {'label': 'D', 'text': 'brainstem'}, {'label': 'E', 'text': 'human body'}], 'stem': 'Something had the nerve to break into the garbage last night, what did it?'}",nerve,"Something had the nerve to break into the garbage last night, what did it?","A: eyes, B: animal, C: fingertips, D: brainstem, E: human body"
B,8605fd2affc796d79073d0f3ef0761c9,"{'question_concept': 'audience', 'choices': [{'label': 'A', 'text': 'school'}, {'label': 'B', 'text': 'sporting event'}, {'label': 'C', 'text': 'concert hall'}, {'label': 'D', 'text': 'show'}, {'label': 'E', 'text': 'television'}], 'stem': 'The audience cheered when a goal was scored, what were they spectating?'}",audience,"The audience cheered when a goal was scored, what were they spectating?","A: school, B: sporting event, C: concert hall, D: show, E: television"
D,bcd51af35d691f5c3b6b548096ab1559,"{'question_concept': 'holy', 'choices': [{'label': 'A', 'text': 'profane'}, {'label': 'B', 'text': 'halibut'}, {'label': 'C', 'text': 'damaged'}, {'label': 'D', 'text': 'common'}, {'label': 'E', 'text': 'halibut'}], 'stem': 'Everybody seemed to be crying at the holy site, the tour guide explained that this was what?'}",holy,"Everybody seemed to be crying at the holy site, the tour guide explained that this was what?","A: profane, B: halibut, C: damaged, D: common, E: halibut"
C,b5345f15d5b451562ab9e0851e7f394f,"{'question_concept': 'smile', 'choices': [{'label': 'A', 'text': 'manual'}, {'label': 'B', 'text': 'rainbow'}, {'label': 'C', 'text': 'cry'}, {'label': 'D', 'text': 'frown'}, {'label': 'E', 'text': 'make others happy too'}], 'stem': 'The smile gave away that the what was one of happiness?'}",smile,The smile gave away that the what was one of happiness?,"A: manual, B: rainbow, C: cry, D: frown, E: make others happy too"
A,01f01cc3ad152773ef42b30e926912bf,"{'question_concept': 'dogs', 'choices': [{'label': 'A', 'text': 'get lost'}, {'label': 'B', 'text': 'require water'}, {'label': 'C', 'text': 'trained'}, {'label': 'D', 'text': 'bark'}, {'label': 'E', 'text': 'roll over'}], 'stem': 'What happens to a dog before someone puts up posters of them?'}",dogs,What happens to a dog before someone puts up posters of them?,"A: get lost, B: require water, C: trained, D: bark, E: roll over"
B,ab8d5e21a2cf34b60a04768b01f1f8e9,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'building'}, {'label': 'B', 'text': 'conference'}, {'label': 'C', 'text': 'assessment'}, {'label': 'D', 'text': 'demonstration'}, {'label': 'E', 'text': 'garage'}], 'stem': 'He kept plugging away in his cubicle, it seemed he was the only person not called into the what?'}",person,"He kept plugging away in his cubicle, it seemed he was the only person not called into the what?","A: building, B: conference, C: assessment, D: demonstration, E: garage"
A,5d1df1daa886efb78db2103ddc1398eb,"{'question_concept': 'attending school', 'choices': [{'label': 'A', 'text': 'boredom'}, {'label': 'B', 'text': 'malaria'}, {'label': 'C', 'text': 'graduate'}, {'label': 'D', 'text': 'inspiration'}, {'label': 'E', 'text': 'detention'}], 'stem': ""If you're attending school and are falling asleep you're likely experiencing what?""}",attending school,If you're attending school and are falling asleep you're likely experiencing what?,"A: boredom, B: malaria, C: graduate, D: inspiration, E: detention"
B,18eb6a3b54ccf4989e268cfb9ea90f9c,"{'question_concept': 'friends', 'choices': [{'label': 'A', 'text': 'call each other'}, {'label': 'B', 'text': 'group together'}, {'label': 'C', 'text': 'understand each other'}, {'label': 'D', 'text': 'meet for lunch'}, {'label': 'E', 'text': 'part company'}], 'stem': ""What would friends do if they need each others' help?""}",friends,What would friends do if they need each others' help?,"A: call each other, B: group together, C: understand each other, D: meet for lunch, E: part company"
C,3e12400bc5a2038a747edf2605787fe8,"{'question_concept': 'people', 'choices': [{'label': 'A', 'text': 'believe in god'}, {'label': 'B', 'text': 'dance'}, {'label': 'C', 'text': 'desire to win'}, {'label': 'D', 'text': 'destroy each other'}, {'label': 'E', 'text': 'run amok'}], 'stem': 'When people are playing a game, what is their motivation to play?'}",people,"When people are playing a game, what is their motivation to play?","A: believe in god, B: dance, C: desire to win, D: destroy each other, E: run amok"
B,9bac07574c966cae34c85e9f25538cba,"{'question_concept': 'getting in line', 'choices': [{'label': 'A', 'text': 'have to wait for'}, {'label': 'B', 'text': 'standing in line'}, {'label': 'C', 'text': 'eat cake'}, {'label': 'D', 'text': 'less confusion'}, {'label': 'E', 'text': 'being ordered'}], 'stem': ""John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what?""}",getting in line,"John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what?","A: have to wait for, B: standing in line, C: eat cake, D: less confusion, E: being ordered"
D,fe2a21ddb1bde76025a961126044a9a3,"{'question_concept': 'going somewhere', 'choices': [{'label': 'A', 'text': 'fire'}, {'label': 'B', 'text': 'energy'}, {'label': 'C', 'text': 'car'}, {'label': 'D', 'text': 'transporting'}, {'label': 'E', 'text': 'staying in place'}], 'stem': 'What is the process of going somewhere?'}",going somewhere,What is the process of going somewhere?,"A: fire, B: energy, C: car, D: transporting, E: staying in place"
E,d03e09b22927542d6b0d5ebe233e467c,"{'question_concept': 'have rest', 'choices': [{'label': 'A', 'text': 'lay in bed'}, {'label': 'B', 'text': 'lay in bed'}, {'label': 'C', 'text': 'go to bed'}, {'label': 'D', 'text': 'relax'}, {'label': 'E', 'text': 'lie down'}], 'stem': 'The old man needed to have rest multiple times a day, he would do what on the couch and catnap?'}",have rest,"The old man needed to have rest multiple times a day, he would do what on the couch and catnap?","A: lay in bed, B: lay in bed, C: go to bed, D: relax, E: lie down"
